date,'3m',abbott_laboratories,abbvie,abiomed,accenture,activision_blizzard,adobe,advanced_micro_devices,advance_auto_parts,aes_corp,aflac,agilent_technologies,air_products_and_chemicals,akamai_technologies,alaska_air_group,albemarle_corporation,align_technology,all_egion,all_iant_energy,all_state_corp,alphabet_class_c,altria_group,amazon,amcor,american_airlines_group,american_electric_power,american_express,american_international_group,american_tower,american_water_works,ameriprise_financial,amerisourcebergen,ametek,amgen,amphenol,analog_devices,ansys,anthem,aon,a_o_smith,apple,applied_materials,aptiv,adm,arista_networks,assurant,atandt,atmos_energy,autodesk,automatic_data_processing,autozone,avalonbay_communities,avery_dennison,baker_hughes,ball__corp,bank_of_america,baxter_international,becton_dickinson,berkshire_hathaway,best_buy,bio_rad_laboratories,biogen,blackrock,bny_mellon,boeing,booking_holdings,borgwarner,boston_properties,boston_scientific,bristol_myers_squibb,broadcom,broadridge_financial_solutions,brown_and_brown,cadence_design_systems,caesars_entertainment,campbell_soup,capital_one_financial,cardinal_health,carmax,carnival_corporation,carrier_global,catalent,caterpillar,cbre,cdw,celanese,centene_corporation,centerpoint_energy,ceridian,cerner,cf_industries,charles_river_laboratories,charter_communications,chevron_corporation,chipotle_mexican_grill,chubb,church_and_dwight,cigna,cincinnati_financial,cisco_systems,citigroup,citizens_financial_group,citrix_systems,clorox,cme_group,cms_energy,coca_cola_company,cognizant_technology_solutions,colgate_palmolive,comcast,comerica,conagra_brands,conocophillips,consolidated_edison,constellation_brands,the_cooper_companies,copart,corning,corteva,costco,crown_castle,csx,cummins,cvs_health,danaher_corporation,darden_restaurants,davita,delta_air_lines,dentsply_sirona,devon_energy,dexcom,diamondback_energy,digital_realty_trust,discover_financial_services,discovery_series_a,dish_network,dollar_general,dollar_tree,dominion_energy,dominos_pizza,dover_corporation,dow,dte_energy,duke_energy,dupont,dxc_technology,eastman_chemical,eaton_corporation,ebay,ecolab,edison_international,edwards_lifesciences,electronic_arts,enphase_energy,entergy,eog_resources,equifax,equinix,equity_residential,essex_property_trust,estée_lauder_companies,etsy,evergy,eversource_energy,everest_re,exelon,expedia_group,expeditors,extra_space_storage,exxonmobil,f5_networks,facebook,fastenal,federal_realty_investment_trust,fedex,fidelity_national_information_services,fifth_third_bancorp,firstenergy,first_republic_bank,fiserv,fleetcor,fmc_corporation,ford,fortinet,fortive,franklin_resources,freeport_mcmoran,gap,garmin,gartner,general_dynamics,general_electric,general_mills,general_motors,genuine_parts,gilead_sciences,globe_life,global_payments,goldman_sachs,hall_iburton,hanesbrands,the_hartford,hasbro,hca_healthcare,henry_schein,the_hershey_company,hess_corporation,hewlett_packard_enterprise,hilton_worldwide,hologic,home_depot,honeywell,hormel,howmet_aerospace,hp,humana,huntington_bancshares,huntington_ingall_s_industries,idex_corporation,idexx_laboratories,ihs_markit,illinois_tool_works,illumina,incyte,ingersoll_rand,intel,intercontinental_exchange,ibm,international_paper,interpublic_group,international_flavors_and_fragrances,intuit,intuitive_surgical,invesco,ipg_photonics,iqvia,iron_mountain,jacobs_engineering_group,j_b_hunt,jm_smucker,johnson_and_johnson,johnson_controls,jpmorgan_chase,juniper_networks,kansas_city_southern,kelloggs,keycorp,keysight_technologies,kimberly_clark,kimco_realty,kinder_morgan,kla_corporation,kraft_heinz,kroger,l3harris_technologies,labcorp,lam_research,lamb_weston,las_vegas_sands,leggett_and_platt,leidos,lennar,eli_lilly_and_co,lincoln_national,linde,live_nation_entertainment,lkq_corporation,lockheed_martin,loews_corporation,lowes,lumen_technologies,lyondellbasell,mandt_bank,marathon_oil,marathon_petroleum,marketaxess,marriott_international,marsh_and_mclennan,martin_marietta_materials,masco,mastercard,match_group,mccormick_and_company,mcdonalds,mckesson_corporation,medtronic,merck_and_co,metlife,mettler_toledo,mgm_resorts_international,microchip_technology,micron_technology,microsoft,moderna,mohawk_industries,mondelez_international,monolithic_power_systems,monster_beverage,moodys_corporation,morgan_stanley,motorola_solutions,msci,nasdaq,netapp,netflix,newell_brands,newmont,nextera_energy,nielsen_holdings,nike,nisource,norfolk_southern,northern_trust,northrop_grumman,nortonlifelock,norwegian_cruise_line_holdings,nrg_energy,nucor,nvidia,nvr,nxp,oreilly_automotive,occidental_petroleum,old_dominion_freight_line,omnicom_group,oneok,oracle,otis_worldwide,paccar,packaging_corporation_of_america,paychex,paycom,paypal,penn_national_gaming,pentair,peoples_united_financial,pepsico,perkinelmer,pfizer,philip_morris_international,phillips_66,pioneer_natural_resources,pnc_financial_services,pool_corporation,ppg_industries,ppl,principal_financial_group,procter_and_gamble,progressive_corporation,prologis,prudential_financial,ptc,public_service_enterprise_group,public_storage,pultegroup,pvh,qorvo,quanta_services,qualcomm,quest_diagnostics,ralph_lauren_corporation,raymond_james_financial,raytheon_technologies,realty_income_corporation,regency_centers,regeneron_pharmaceuticals,regions_financial_corporation,republic_services,resmed,robert_half_international,rockwell_automation,rollins,roper_technologies,ross_stores,royal_caribbean_group,sandp_global,salesforce,sba_communications,schlumberger,seagate_technology,sealed_air,sempra_energy,servicenow,sherwin_williams,simon_property_group,skyworks_solutions,snap_on,southern_company,southwest_airlines,stanley_black_and_decker,starbucks,state_street_corporation,steris,stryker_corporation,svb_financial,synchrony_financial,synopsys,sysco,t_mobile_us,t_rowe_price,take_two_interactive,tapestry,target_corporation,te_connectivity,teledyne_technologies,teleflex,teradyne,tesla,texas_instruments,textron,thermo_fisher_scientific,tjx_companies,tractor_supply_company,trane_technologies,transdigm_group,the_travelers_companies,trimble,truist_financial,twitter,tyler_technologies,tyson_foods,udr,ulta_beauty,us_bancorp,union_pacific,united_airlines,unitedhealth_group,united_parcel_service,united_rentals,universal_health_services,valero_energy,ventas,verisign,verisk_analytics,verizon_communications,vertex_pharmaceuticals,vf_corporation,viacomcbs,viatris,visa,vornado_realty_trust,vulcan_materials,wabtec,walmart,walgreens_boots_all_iance,the_walt_disney_company,waste_management,waters_corporation,wec_energy_group,wells_fargo,welltower,west_pharmaceutical_services,western_digital,western_union,westrock,weyerhaeuser,whirlpool_corporation,williams_companies,willis_towers_watson,wynn_resorts,xcel_energy,xilinx,xylem,zebra_technologies,zimmer_biomet,zoetis
2016-10-16,4,58,64,0,22,0,38,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,96,0,41,0,0,0,0,0,40,19,40,0,0,4,8,0,71,0,0,26,17,0,29,0,21,0,5,0,0,6,0,44,97,0,4,17,0,4,3,0,8,0,0,0,0,18,15,0,0,0,0,0,0,15,0,0,0,23,36,15,0,0,0,0,0,24,0,0,13,0,9,10,0,30,0,23,8,0,0,0,0,0,0,0,0,23,48,0,0,0,18,0,15,29,0,9,0,18,21,15,0,0,51,8,0,0,0,0,0,0,0,50,16,0,0,16,0,4,0,15,11,0,0,0,82,0,0,0,0,10,0,0,2,0,0,0,0,6,0,0,0,60,0,0,0,37,0,54,0,0,7,0,0,0,0,12,0,41,27,33,0,0,0,42,6,25,0,21,20,19,0,10,0,0,44,8,0,0,19,0,26,31,0,0,0,39,32,35,0,0,87,29,0,0,0,0,0,0,55,0,0,32,41,100,0,0,0,0,23,0,0,0,0,0,0,0,3,22,25,14,0,0,0,0,0,0,13,0,0,4,0,0,0,0,0,0,0,0,0,0,25,0,0,27,0,21,0,23,0,0,0,0,0,0,0,0,17,0,0,60,0,44,0,18,0,0,0,0,38,2,28,41,0,0,0,37,43,0,10,19,45,0,13,18,0,14,0,14,9,12,0,0,20,0,37,10,30,0,0,0,0,0,28,0,0,0,0,20,39,0,37,0,10,0,1,0,34,0,0,0,0,0,0,13,0,0,0,18,0,20,0,0,0,0,49,19,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,11,19,0,24,0,22,0,0,0,0,0,0,23,2,0,12,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,82,0,41,0,0,41,0,0,0,0,0,38,0,12,0,0,0,29,1,61,0,38,0,0,59,0,0,100,27,0,0,0,16,0,0,0,29,58,0,7,0,0,75,0,0,35,17,20,0,0,0,0,0,0,9,0,0,0,38
2016-10-23,7,100,27,0,13,0,42,51,15,0,0,0,0,0,0,0,0,30,0,0,0,0,21,20,0,0,20,0,0,0,0,0,0,9,0,0,0,7,0,0,73,0,0,9,17,0,100,0,10,0,27,40,0,33,0,58,52,0,8,25,0,0,13,0,8,0,0,0,22,17,20,0,0,0,21,47,0,46,16,0,0,22,18,0,0,0,0,0,0,0,0,0,38,100,25,9,0,30,0,11,25,0,0,0,0,0,17,20,0,32,0,0,27,0,0,0,0,0,0,15,0,18,16,0,0,0,20,1,0,0,0,0,0,0,0,20,23,40,0,24,0,5,0,15,9,0,0,0,95,0,0,19,0,0,7,0,0,0,37,0,0,11,0,0,0,20,0,36,0,7,0,53,0,0,31,0,0,0,0,12,0,0,19,16,0,0,0,58,2,24,15,24,20,27,0,5,0,0,20,16,0,0,38,0,0,31,0,23,100,39,20,49,20,0,82,57,0,0,0,0,0,0,0,0,19,18,0,80,0,0,0,39,0,13,0,0,0,0,0,0,1,11,0,29,0,16,0,0,0,0,19,0,1,7,0,0,0,0,39,0,0,0,0,0,25,0,0,27,0,24,0,23,0,0,0,0,23,0,0,0,7,13,0,79,80,0,0,26,0,0,0,0,100,2,0,0,0,0,0,28,57,0,4,19,24,0,0,0,40,16,0,14,0,12,0,0,0,0,35,0,99,0,0,0,0,0,20,0,0,0,24,0,26,0,0,0,8,0,2,0,100,38,34,0,0,0,0,40,0,0,15,36,0,39,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,3,0,24,0,0,0,11,0,0,0,0,0,6,0,13,0,0,0,0,0,0,39,0,40,0,16,2,0,0,0,0,43,54,40,21,0,0,0,0,0,13,0,34,0,23,0,0,0,0,1,0,100,0,16,0,72,78,0,4,27,16,0,0,16,0,0,0,24,0,22,0,0,0,47,0,0,23,6,0,0,0,0,0,22,20,0,0,0,0,0
2016-10-30,9,43,73,0,31,0,95,26,15,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,21,20,0,0,0,0,0,0,38,0,0,0,7,15,48,43,27,0,9,0,0,13,0,0,0,21,0,40,100,0,40,44,25,16,14,0,4,7,0,7,0,0,0,11,0,30,0,0,0,0,0,0,31,16,0,0,23,18,0,0,0,0,0,0,0,0,0,52,0,26,0,0,40,0,23,8,0,0,0,0,0,68,20,0,17,0,0,0,0,9,0,30,10,0,15,21,0,26,0,0,0,61,3,0,0,13,0,39,0,0,10,8,10,0,8,0,4,30,8,8,0,26,0,82,0,40,0,76,0,0,0,1,13,0,0,0,11,0,0,0,40,0,0,0,7,20,55,36,0,11,0,0,0,0,0,0,0,25,0,0,0,0,23,7,8,29,31,10,16,0,34,0,0,31,16,0,0,29,0,26,0,0,0,0,0,41,42,20,0,88,23,0,0,0,0,11,0,27,42,0,20,0,65,0,0,0,0,0,0,0,0,18,0,0,0,1,11,0,0,0,0,82,0,0,0,6,0,1,7,0,16,0,0,39,0,0,0,0,0,0,0,0,32,0,21,0,0,0,40,0,0,0,0,0,0,14,13,0,53,0,0,0,79,0,0,0,13,69,0,0,41,0,42,0,8,100,0,6,76,22,22,0,9,0,12,0,14,0,12,0,0,0,0,31,0,0,0,0,0,0,0,33,0,0,0,0,0,22,0,0,0,0,0,4,0,33,38,0,0,0,0,0,0,0,0,0,12,0,20,0,0,20,0,19,76,0,40,0,0,0,0,0,0,21,0,0,25,82,0,0,0,24,0,12,0,0,22,0,0,0,0,0,23,3,0,22,0,0,0,0,21,0,0,0,0,0,16,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,30,0,24,0,0,0,29,1,20,40,0,0,0,50,0,0,0,0,0,0,0,19,0,0,0,24,58,0,14,0,0,52,0,0,12,41,0,0,0,48,0,22,0,18,0,0,38,0
2016-11-06,8,32,41,0,36,0,89,0,0,0,33,0,43,35,0,33,0,0,0,0,0,0,18,0,0,0,37,0,44,0,0,0,0,17,0,19,18,3,7,0,38,0,0,8,0,0,12,0,9,0,14,0,0,5,0,42,47,0,50,23,0,4,6,17,7,0,19,0,0,16,14,0,0,0,19,14,0,0,14,0,0,0,32,5,0,0,0,0,0,21,43,0,0,0,0,4,0,27,0,0,44,0,0,0,18,0,31,18,0,17,0,0,0,0,16,0,13,35,0,12,0,0,19,0,0,0,64,1,0,13,0,0,0,0,0,18,0,9,0,15,0,29,0,0,6,0,0,0,79,0,0,0,0,0,0,0,1,0,0,0,0,5,0,0,0,18,0,0,0,13,0,50,0,0,7,0,0,0,36,33,0,0,23,0,0,0,0,15,3,0,26,9,0,24,0,18,0,0,25,15,0,0,26,0,0,0,0,0,30,35,18,32,36,0,86,26,0,37,0,0,0,0,25,0,0,10,36,92,0,0,0,0,20,0,0,0,16,0,0,24,1,0,11,0,0,0,0,0,0,0,6,0,3,7,0,0,0,0,35,0,17,0,0,0,17,0,0,19,0,22,0,0,0,18,0,0,0,0,0,29,12,0,0,58,36,16,0,8,0,0,0,0,32,0,0,0,0,0,0,22,26,0,26,17,19,0,12,8,0,15,0,0,0,11,0,0,0,0,24,0,18,0,0,0,37,0,19,0,18,0,0,0,7,0,0,0,5,0,2,0,53,0,0,0,0,21,0,0,0,0,0,5,0,0,0,0,0,0,13,17,0,0,0,0,0,0,0,0,0,0,0,19,0,12,0,10,14,0,32,0,0,0,0,0,0,0,0,0,5,0,11,0,0,0,0,0,0,17,0,0,0,0,2,0,0,0,22,28,36,24,0,0,0,0,0,0,24,0,43,0,11,19,36,0,0,1,0,18,0,0,36,57,0,0,0,0,29,0,0,20,0,0,19,28,0,0,18,0,0,34,0,0,0,26,18,0,37,0,0,0,18,0,0,0,0,0
2016-11-13,2,78,36,0,35,0,64,26,15,0,0,22,0,0,0,0,0,0,0,0,0,0,22,0,0,21,31,0,0,0,0,0,0,28,0,0,0,11,15,0,44,14,0,8,0,36,15,0,10,0,21,0,0,11,0,47,52,0,8,27,0,8,7,18,6,0,0,0,11,0,5,0,0,43,0,16,0,0,15,0,0,0,40,10,0,0,0,0,0,0,0,0,13,0,25,0,0,10,0,45,33,0,0,10,0,0,17,0,0,26,24,0,0,0,0,0,30,19,0,20,0,18,5,0,0,0,50,0,0,0,0,0,0,0,0,0,15,10,0,24,0,8,30,15,14,0,25,0,69,20,0,0,75,0,0,0,0,0,0,0,0,33,0,0,0,20,0,0,0,15,0,62,0,0,20,0,0,0,0,37,0,0,30,0,0,20,0,29,10,32,15,27,10,16,0,10,0,0,20,0,0,13,19,0,0,0,0,45,0,0,43,49,20,0,88,51,80,0,0,0,0,0,14,0,0,29,0,67,52,0,0,0,0,0,0,0,0,0,0,27,2,11,75,0,0,0,0,20,0,0,0,0,0,29,0,0,0,0,19,0,18,0,0,0,6,0,0,0,0,17,0,23,19,0,8,0,0,0,0,32,21,0,0,43,0,9,0,26,0,0,0,0,37,1,0,0,0,41,0,36,14,0,10,38,26,0,13,0,0,14,24,28,0,23,0,0,0,0,28,0,5,0,0,0,0,0,23,0,0,0,0,0,28,0,0,0,10,0,1,0,66,38,0,0,0,11,0,0,0,0,0,12,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,5,0,47,0,22,0,0,0,0,0,0,0,2,0,14,0,41,0,0,0,0,0,0,0,0,0,10,0,0,0,0,42,27,13,0,39,0,0,0,0,27,0,29,0,0,0,0,0,29,1,0,40,0,16,0,49,39,0,0,0,0,0,0,21,0,0,0,54,0,0,0,0,0,35,0,0,35,23,0,0,0,0,31,0,0,9,0,17,0,0
2016-11-20,5,66,66,0,45,0,51,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,25,41,0,0,53,0,0,0,0,0,41,10,0,0,21,8,0,0,55,14,0,9,18,0,11,0,43,0,0,0,0,6,0,49,54,0,4,57,0,0,7,0,10,0,22,0,11,0,5,0,0,0,0,65,0,16,16,0,0,0,37,0,26,0,0,0,0,12,0,0,13,0,9,5,0,31,0,0,17,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,15,20,0,11,0,0,16,0,0,0,21,0,0,0,13,0,0,0,0,31,16,31,0,34,0,6,31,0,7,0,0,0,73,21,0,20,0,0,0,0,1,0,38,0,0,23,0,0,0,0,0,0,0,0,0,50,0,0,13,0,0,0,0,0,0,0,27,0,0,21,0,23,2,17,15,32,11,14,0,0,0,0,14,25,0,0,59,0,0,0,0,47,0,80,45,29,0,0,85,65,0,0,0,0,0,0,14,0,0,22,0,83,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,20,0,0,26,0,0,0,0,20,0,0,13,0,0,19,0,0,27,0,32,0,24,0,20,0,0,24,0,0,0,25,0,0,46,0,9,0,0,0,0,0,0,32,0,0,0,0,0,0,29,15,5,11,59,28,0,0,0,0,15,0,0,0,0,0,0,0,0,27,0,20,0,0,0,0,0,10,0,20,0,0,0,19,0,0,0,4,0,2,0,52,0,0,0,0,24,0,0,0,0,0,19,0,41,0,0,0,0,41,19,0,0,0,0,0,0,0,16,0,0,0,37,0,14,0,11,16,0,0,26,23,0,0,0,0,0,0,0,2,0,14,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,38,28,28,0,0,0,0,0,0,0,0,30,0,61,22,0,0,15,2,0,0,39,0,42,46,0,0,9,0,16,0,0,23,0,0,0,51,0,23,7,0,0,39,0,0,0,0,0,0,0,0,0,22,0,0,0,17,0,79
2016-11-27,4,71,91,0,22,0,53,26,0,0,0,23,0,0,0,0,28,0,38,0,0,0,30,40,0,0,36,0,0,0,0,0,40,47,0,0,20,24,8,0,44,14,0,26,0,0,29,0,0,0,11,0,0,0,0,54,70,25,4,31,0,4,0,0,9,0,21,0,0,0,10,0,0,0,21,0,0,31,0,0,0,0,18,5,0,0,0,0,0,12,0,0,0,33,0,14,0,60,0,11,0,0,0,0,0,0,34,20,0,26,0,0,0,0,0,0,0,19,0,15,0,18,21,0,0,0,10,2,0,0,13,0,0,0,0,0,46,0,0,16,0,7,0,0,11,0,0,0,68,0,0,0,25,0,0,0,0,0,0,0,0,22,0,0,0,20,0,0,0,37,0,51,0,0,15,41,0,0,0,49,0,0,38,16,0,0,0,65,8,0,0,24,31,24,0,0,0,0,24,8,37,0,10,0,0,0,0,45,0,0,35,42,0,0,81,46,0,0,0,0,0,0,14,0,0,26,0,55,0,0,0,0,0,0,0,0,0,0,0,0,2,11,0,0,0,65,0,0,0,0,58,0,1,33,0,16,0,0,39,0,0,0,0,0,69,0,0,27,0,24,0,0,58,20,8,47,23,0,0,0,10,0,0,40,0,17,0,26,0,0,0,0,24,4,0,40,0,0,0,24,14,27,18,57,77,0,26,9,0,18,0,0,0,35,0,0,0,0,17,10,15,0,0,0,0,0,34,0,0,0,0,0,22,0,0,0,4,0,2,100,50,0,34,0,0,23,0,0,0,0,0,30,0,39,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,19,22,0,0,0,0,11,0,12,0,67,0,0,0,0,0,0,0,1,0,23,0,0,0,0,0,63,19,0,0,0,0,2,0,0,0,0,27,0,13,0,0,0,0,0,0,27,0,28,0,0,0,0,0,0,2,0,0,0,0,0,49,0,0,4,0,0,0,0,19,0,0,0,37,0,44,7,0,0,40,0,0,0,0,0,0,0,0,0,0,40,9,0,0,0,0
2016-12-04,7,89,66,0,23,0,35,27,32,0,38,0,0,0,0,38,0,0,0,0,0,0,24,21,0,0,21,0,0,0,21,21,0,0,0,22,0,9,31,0,49,14,0,9,0,0,14,0,0,0,22,0,0,11,0,38,36,0,4,26,0,12,10,0,10,0,44,0,0,18,5,0,0,0,0,0,0,16,0,0,0,23,14,0,0,0,0,14,0,0,50,0,40,35,44,5,0,31,0,0,9,0,0,11,0,0,53,0,0,14,0,0,14,0,0,0,15,20,0,14,0,9,16,0,0,0,42,5,0,15,0,0,0,0,0,0,0,0,0,42,0,9,0,0,9,0,26,13,69,0,0,0,13,11,0,0,0,68,0,46,0,23,0,0,0,41,0,0,0,0,0,49,0,0,34,0,0,0,0,13,0,0,25,0,0,0,0,54,5,34,0,14,21,28,0,0,0,19,14,0,0,0,40,0,0,0,0,23,0,41,15,51,42,0,83,36,42,0,0,0,0,0,28,0,0,21,0,74,0,0,0,0,23,0,0,0,37,0,41,0,0,34,26,0,0,17,0,21,0,0,13,0,3,15,0,0,0,0,40,0,19,14,0,0,78,0,0,33,0,29,0,0,0,0,0,0,0,0,0,0,21,0,0,29,0,27,0,0,0,0,0,0,44,1,0,0,0,0,0,21,0,0,6,0,27,0,0,0,0,17,0,0,9,0,0,0,0,0,18,0,10,0,0,0,42,0,26,0,41,0,0,0,34,0,76,0,8,0,3,35,52,0,35,0,0,24,0,0,0,0,0,13,0,0,0,16,0,0,24,0,0,0,0,0,0,0,0,0,22,0,0,7,0,0,0,0,16,0,12,27,0,0,0,0,0,0,0,0,5,0,11,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,26,24,0,14,22,0,0,0,0,0,0,0,31,0,0,0,0,0,15,2,0,21,0,34,0,37,0,0,4,0,0,0,0,18,0,0,0,35,0,0,21,0,0,27,0,0,24,18,0,0,0,0,0,0,0,9,0,0,39,0
2016-12-11,11,30,76,0,37,0,71,27,32,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,32,0,0,0,0,0,41,10,0,22,0,7,23,0,49,0,0,18,0,0,11,0,33,0,17,0,0,0,42,45,100,0,4,33,0,4,7,0,9,0,22,0,0,0,16,0,0,0,0,0,0,0,16,24,0,23,23,16,0,0,0,0,0,49,100,0,40,0,62,10,0,21,0,12,43,42,0,11,41,0,18,0,0,33,0,0,0,0,9,0,15,30,0,22,0,28,16,0,0,0,10,5,38,0,0,0,0,0,0,10,16,10,0,25,0,10,62,0,16,0,0,0,79,0,0,20,26,0,0,0,1,0,0,0,0,6,0,0,0,21,0,0,0,100,0,55,0,0,13,0,0,0,0,25,0,0,26,17,0,0,0,30,4,34,0,28,32,11,0,10,0,0,32,0,0,0,10,0,0,0,0,23,35,0,12,29,42,0,88,30,0,0,0,43,0,0,0,0,0,18,0,81,0,0,0,13,0,14,0,0,0,0,0,0,0,11,13,30,0,0,0,0,0,0,7,0,5,42,0,0,0,0,20,0,19,0,0,0,72,0,0,50,0,36,0,24,20,20,0,0,0,0,0,0,14,0,0,19,41,9,0,18,0,0,0,0,32,2,0,42,0,0,0,13,0,0,19,0,35,0,13,9,0,18,0,0,18,12,0,0,21,0,22,0,21,0,0,0,42,0,26,0,0,0,0,0,32,0,38,0,4,0,1,0,52,0,0,0,0,12,0,14,0,0,16,19,0,21,0,16,0,0,17,39,0,0,0,0,0,0,0,16,0,0,0,22,0,0,0,0,16,0,25,0,23,23,11,0,12,0,0,0,7,0,9,0,0,0,0,0,22,20,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,30,47,0,0,0,0,0,1,0,0,0,17,0,84,41,0,9,0,16,0,0,17,0,0,0,33,30,0,7,0,0,44,0,0,12,18,0,0,0,0,0,0,21,9,0,0,0,0
2016-12-18,10,93,89,0,29,0,70,28,16,28,0,0,0,0,0,0,0,0,0,0,61,0,19,22,0,23,17,0,0,0,0,0,0,0,0,0,0,7,16,0,59,0,0,9,19,0,14,0,34,0,6,0,44,6,0,43,66,27,9,36,0,8,15,0,6,0,0,0,0,0,5,0,0,0,23,0,0,0,17,0,0,49,14,0,27,0,0,0,0,13,0,0,14,36,0,5,0,33,0,0,18,0,0,11,0,0,18,22,0,18,26,0,15,0,0,0,0,11,0,19,0,20,17,0,0,100,55,100,0,0,0,0,0,0,0,33,42,32,0,44,0,7,0,8,4,0,0,0,77,0,0,0,0,0,0,0,1,0,0,0,0,24,0,0,0,43,0,0,0,16,22,51,0,0,24,0,0,22,0,66,0,0,28,0,0,22,0,11,4,9,32,15,33,26,0,16,0,0,37,18,0,0,52,0,0,100,0,0,0,0,35,61,0,0,72,31,0,0,0,0,0,0,30,23,0,24,44,64,0,0,0,14,0,0,0,0,0,0,0,0,0,24,14,16,0,35,0,0,25,0,0,0,5,16,0,8,0,0,0,0,0,14,0,0,41,0,0,29,0,15,0,0,0,0,0,0,0,0,0,35,15,0,0,32,0,19,0,0,0,0,0,14,27,2,0,88,0,0,0,4,31,0,7,62,26,0,28,10,0,13,0,0,0,13,0,0,22,22,25,0,11,0,0,0,0,29,32,0,0,0,0,0,22,0,0,0,6,0,1,18,27,0,0,0,0,37,0,0,0,0,0,7,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,42,23,0,14,0,11,3,0,26,0,0,0,0,47,13,0,0,0,9,0,16,0,0,43,0,0,0,0,44,0,0,0,0,0,0,0,0,35,15,29,0,0,0,0,0,0,0,0,28,0,25,0,0,0,0,1,0,22,0,0,0,58,0,0,5,30,17,0,0,17,0,0,0,39,0,0,15,0,0,21,0,0,25,13,22,0,0,0,0,23,0,0,0,0,0,0
